Kode SLKI,Nama SLKI,Kriteria Hasil,Kode SDKI
L.01001,,"1. Batuk efektif dari skala 1 menurun menjadi skala 5 meningkat
2. Produksi sputum dari skala 1 meningkat menjadi skala 5 menurun
3. Mengi dari skala 1 meningkat menjadi skala 5 menurun
4. Wheezing dari skala 1 meningkat menjadi skala 5 menurun.
5. Mekonium (pada neonatus) dari skala 1 meningkat menjadi skala 5 menurun Penyapihan ventilator",D.0001
L.01002,,"1. Kesinkronan bantuan ventilator dari skala 1 menurun menjadi skala 5 meningkat
2. Penggunaan otot bantu napas dari skala 5 menurun menjadi skala 1 meningkat
3. Napas megap megap (gasping) dari skala 5 menurun menjadi skala 1 meningkat
4. Napas dangkal dari skala 5 menurun menjadi skala 1 meningkat
5. Agitasi dari skala 5 menurun menjadi skala 1 meningkat.
6. Frekuensi napas nilai gas darah arteri dari skala 1 memburuk menjadi skala 5 membaik Pertukaran Gas (L.01003)",D.0002
L.01003,Pertukaran Gas,"1. Dispnea dari skala 1 meningkat menjadi skala 5 menurun
2. Bunyi napas tambahan dari skala 1 meningkat menjadi skala 5 menurun
3. Takikardi dari skala 1 meningkat menjadi skala 5 menurun
4. PCO₂ dari skala 1 memburuk menjadi skala 5 membaik
5. PO₂ dari skala 1 memburuk menjadi skala 5 membaik
6. pH arteri dari skala 1 memburuk menjadi skala 5 membaik Sirkulasi Spontan (L.02015)",
L.02015,Sirkulasi Spontan,"1. Tingkat kesadaran dari skala 1 menurun menjadi skala 5 meningkat
2. Frekuensi nadi dari skala 1 memburuk menjadi skala 5 membaik
3. Tekanan darah dari skala 1 memburuk menjadi skala 5 membaik
4. Frekuensi napas dari skala 1 memburuk menjadi skala 5 membaik",
L.01004,Pola Napas,"6. Dispnea dari skala 1 meningkat menjadi skala 5 menurun
7. Penggunaan otot bantu napas dari skala 1 meningkat menjadi skala 3 sedang
8. Frekuensi napas dari 1 memburuk menjadi skala 5 membaik",
L.01006,Tingkat Aspirasi,"1. Tingkat kesadaran (5)
2. Kemampuan menelan (5)
3. Kebersihan mulut (5)
4. Dispnea (4)
5. Kelemahan otot (4)
6. Akumulasi secret (4)
7. Wheezing (4)
8. Batuk (4)
9. Penggunaan otot aksesoris -4
10. Sianosis (4)
11. Gelisah (4)
12. Frekuensi napas (4) Sirkulasi Spontan (L.02015)",D.0006
L.02015,Sirkulasi Spontan,"1. Tingkat kesadaran (5)
2. Frekuensi nadi (4)
3. Tekanan darah (3)
4. Frekuensi napas (3)
5. Suhu tubuh (3)
6. Saturasi oksigen (3)
7. Gambaran EKG aritmia -3
8. ETCO2 (3)
9. Produksi urine (3) Curah Jantung (L.02008)",
L.02008,Curah Jantung,"1. Kekuatan nadi perifer (4)
2. Palpitasi (3)
3. Tekanan darah (5)
1. Perfusi perifer setelah dilakukan tindakan keperawatan selama 3 X 24 jam masalah perfusi perifer teratasi dengan krirteria hasil",
L.02008,Curah Jantung,"1. penyembuhan luka meningkat
2. Edema perifer menurun
3. Nyeri ekstermitas menurun Sirkulasi Spontan (L.02015)",
L.02015,Sirkulasi Spontan,"1. Tingkat kesadaran (5)
2. Frekuensi nadi (4)
3. Tekanan darah (3)
4. Frekuensi napas (3)
5. Suhu tubuh (3)
6. Saturasi oksigen (3)
7. Gambaran EKG aritmia -3
8. ETCO2 (3)
9. Produksi urine (3) Curah Jantung (L.02008)",D.0010
