Kode SDKI,Nama SDKI,Kategori,Subkategori,Kode SLKI,Nama SLKI,Kode SIKI,Nama SIKI
D.0001,Bersihan Jalan Napas Tidak Efektif,Fisiologis,Respirasi,L.01001,Bersihan Jalan Nafas,"I.01001, I.01011, I.01014",Latihan Batuk Efektif; Manajemen Jalan Napas; Pemantauan Respirasi
D.0002,Gangguan Penyapihan Ventilator,Fisiologis,Respirasi,L.01002,Penyapihan ventilator,"I.01021, I.01014",Mekanik; Pemantauan Respirasi
D.0003,Gangguan Pertukaran Gas,Fisiologis,Respirasi,L.01003,Pertukaran Gas,"I.01014, I.01026",Pemantauan Respirasi; Terapi Oksigen
D.0004,Gangguan Ventilasi Spontan,Fisiologis,Respirasi,L.02015,Sirkulasi Spontan,"I.02038, I.03139, I.02083",Manajemen Defibrilasi; Resusitasi Cairan; Resusitasi Jantung Paru
D.0005,Pola Napas Tidak Efektif,Fisiologis,Respirasi,L.01004,Pola Napas,I.01011,Manajemen Jalan Napas
D.0006,Risiko Aspirasi,Fisiologis,Respirasi,L.01006,Tingkat Aspirasi,"I.01011, I.01018, I.02038",Manajemen Jalan Napas; Pencegahan Aspirasi; Manajemen Defibrilasi
D.0007,Gangguan Sirkulasi Spontan,Fisiologis,Sirkulasi,L.02015,Sirkulasi Spontan,"I.02038, I.02083, I.02075",Manajemen Defibrilasi; Resusitasi Jantung Paru; Perawatan Jantung
D.0008,Penurunan Curah Jantung,Fisiologis,Sirkulasi,L.02008,Curah Jantung,I.02075,Perawatan Jantung
D.0009,Perfusi Perifer Tidak Efektif,Fisiologis,Sirkulasi,L.02015,Sirkulasi Spontan,I.02080,Pertolongan Pertama
D.0010,Risiko Gangguan Sirkulasi Spontan,Fisiologis,Sirkulasi,L.02015,Sirkulasi Spontan,"I.02080, I.02075",Pertolongan Pertama; Perawatan Jantung
D.0011,Risiko Penurunan Curah Jantung,Fisiologis,Sirkulasi,L.02008,Curah Jantung,I.02075,Perawatan Jantung
D.0012,Risiko Perdarahan,Fisiologis,Sirkulasi,L.02017,Tingkat Perdarahan,"I.02067, I.02028, I.12379","Pencegahan Perdarahan; Balut tekan; dilakuykan saat meraasa dirinya dalam bahaya(mis. Meminta bantuan orang dewasa, berteriak, segera berlari)"
D.0013,Risiko Perfusi Gastrointestinal Tidak Efektif,Fisiologis,Sirkulasi,L.02010,Perfusi Gastrointestinal,"I.01004, I.03094, I.02075",Manajemen pendarahan; Konseling nutrisi; Perawatan Jantung
D.0014,Risiko Perfusi Miokard Tidak Efektif,Fisiologis,Sirkulasi,L.02011,Perfusi Miokard,I.02075,Perawatan Jantung
D.0015,Risiko Perfusi Perifer Tidak Efektif,Fisiologis,Sirkulasi,L.02011,Perfusi Perifer,I.02068,Pencegahan Syok
D.0016,Risiko Perfusi Renal Tidak Efektif,Fisiologis,Sirkulasi,L.02013,Perfusi Renal,I.02068,Pencegahan Syok
D.0017,Risiko Perfusi Serebral Tidak Efektif,Fisiologis,Sirkulasi,L.02014,Perfusi Serebral,I.06194,Tekanan Intrakranial
D.0018,Berat Badan Lebih,Fisiologis,Nutrisi dan Cairan,L.03018,Berat badan,,
D.0019,Defisit Nutrisi,Fisiologis,Nutrisi dan Cairan,L.03018,Berat badan,,
D.0020,Diare,Fisiologis,Nutrisi,L.04033,Eliminasi Fekal,I.03101,Manajemen Diare
D.0021,Disfungsi Motilitas Gastrointestinal,Fisiologis,Nutrisi dan Cairan,L.03033,Tingkat Nyeri,I.14551,Pengontrolan Infeksi
D.0022,Hipervolemia,Fisiologis,Nutrisi dan Cairan,L.03020,Keseimbangan Cairan,I.03121,Pemantauan Cairan
D.0023,Hipovolemia,Fisiologis,Nutrisi dan Cairan,L.03020,Keseimbangan Cairan,"I.003116, I.02045, I.02042, I.03121, I.03091",Manejemen Hipovolemia; Manejemen pendarahan pervaginam pascapersalinan; antepartum dipertahankan; Pemantauan Cairan; Fototerapi Neonatus
D.0024,Ikterik Neonatus,Fisiologis,Nutrisi dan Cairan,L.14125,Integritas Kulit dan Jaringan,"I.03091, I.10338, I.03098",Fototerapi Neonatus; Perawatan Bayi; Manajemen Cairan
D.0025,Kesiapan Peningkatan Keseimbangan Cairan,Fisiologis,Nutrisi dan Cairan,L.03020,Keseimbangan Cairan,"I.03098, I.03121",Manajemen Cairan; Pemantauan Cairan
