Kode SDKI,Nama SDKI,Kategori,Subkategori,Definisi,Penyebab,Gejala Mayor - Subjektif,Gejala Mayor - Objektif,Gejala Minor - Subjektif,Gejala Minor - Objektif,Kondisi Klinis Terkait
D.0001,Bersihan Jalan Napas Tidak Efektif,Fisiologis,Respirasi,Ketidakmampuan membersihkan sekret atau obstruksi jalan napas untuk mempertahankan jalan napas tetap paten,"1. Spasme jalan napas
2. Hipersekresi jalan napas
3. Disfungsi neuromuskuler
4. Benda asing dalam jalan napas
5. Adanya jalan napas buatan
6. Sekresi yang tertahan
7. Hiperplasia dinding jalan napas
8. Proses infeksi
9. Respon alergi
10. Efek agen farmakologis (mis. Anastesi)
1. Merokok aktif
2. Merokok pasif
3. Terpajan polutan",-,"11. Batuk tidak efektif atau tidak mampu batuk
12. Sputum berlebih / obstruksi di jalan napas / mekonium di jalan napas (pada neonatus)
4. Mengi, wheezing dan/atau ronkhi kering",,"1. Gelisah
2. Sionosis
3. Bunyi napas menurun
4. Frekuensi napas berubah
5. Pola napas berubah","1. Gullian barre syndrome
2. Sklerosis multipel
3. Myasthenia gravis
4. Prosedur diagnostik (mis. Bronkoskopi, transesophageal echocardiograhphy
5. Sklerosis multipel
6. Myasthenia gravis
7. Stroke
8. Kuadrifplegia
9. Sindrom aspirasi meconium
10. Infeksi saluran napas
11. Asma Gangguan Penyapihan"
D.0002,Gangguan Penyapihan Ventilator,Fisiologis,Respirasi,Ketidakmampuan beradaptasi dengan pengurangan bantuan ventilator mekanik yang dapat menghambat dan memperlama proses penyapihan.,"1. Hipersekresi jalan napas
2. Ketidakcukupan Energi
3. Hambatan upaya napas (mis. Nyeri saat bernapas,kelemahan otot pernapasan,efek sedasi)
1. Kecemasan
2. Perasaan tidak berdaya
3. Kurang informasi tentang proses penyapihan
4. Penurunan motivasi
1. Ketidakadekuatan dukungan sosial
2. Ketidaktepatan kecepatan proses penyapihan
3. Riwayat kegagalan berulang dalam upaya penyapihan
4. Riwayat ketergantungan ventilator >4 hari",,"1. Frekuensi napas meningkat
2. Penggunaan otot bantu napas
3. Napas megap megap (gasping)
4. Upaya napas dan bantuan ventilator tidak sinkron
5. Napas dangkal
6. Agitasi
7. Nilai gas darah arteri abnormal",,,"1. Cedera kepala
2. Coronary artery bypass graft (CABG)
3. Gagal Napas
4. Cardiac Arrest
5. Transplantasi Jantung
6. Displasia Bronkupulmonal Gangguan Pertukaran Gas"
D.0002,Gangguan Pertukaran Gas,Fisiologi,Respirasi,Kelebihan atau kekurangan oksigenasi dan/atau eliminasi karbon dioksida pada membran alveolus-kapiler.,"1. Ketidakseimbangan ventilasi-perfusi
2. Perubahan membran alveolus-kapiler",1. Dispnea,"1. PCO₂ meningkat/menurun
2. PO₂ menurun
3. Takikardi
4. pH arteri menurun/meningkat
5. Bunyi napas tambahan","1. Pusing
2. Penglihatan kabur","1. Sianosis
2. Diaforesis
3. Gelisah
4. Napas cuping hidup
5. Pola napas abnormal (cepat /lambat, regular /iregular, dala /dangkal)
6. Warna kulit abnormal (mis. Pucat, kebiruan)
7. Kesadaran menurun","1. Penyakit paru obstruktif kronis (PPOK)
2. Gagal jantung kongestif
3. Asma
4. Pneumonia
5. Tuberkulosis paru
6. Penyakit membran hialin
7. Asfiksia
8. Persistent pulmonary hypertension of newborn (PPHN)
9. Prematuritas
10. Infeksi saluran napas Gangguan Ventilasi Spontan"
D.0002,Gangguan Ventilasi Spontan,Fisiologis,Respirasi,Penurunan cadangan energi yang mengakibatkan individu tidak mampu bernafas secara adekuat.,"1. Gangguan metabolisme
2. Kelemahan otot pernapasan","1. Dispnea Objektif
1. Penggunaan otot bantu nafas meningkat
2. Volume tidak menurun
3. PCO2 meningkat
4. PO2 menurun
5. SaO2 menurun",,(Tidak Tersedia),"1. Gelisah
2. Takikardia","1. Penyakit paru obstruktif kronis (PPOK)
2. Asma
3. Cedera kepala
4. Gagal napas
5. Bedah jantung
6. Adult respiratory distress syindrome (ARDS)
7. Persistent pulmonary hypertension of newborn (PPHN)
8. Prematuritas
9. Infeksi saluran nafas Pola Napas Tidak Efektif"
D.0002,Pola Napas Tidak Efektif,Fisiologis,Respirasi,Inspirasi dan/atau ekspirasi yang tidak memberikan ventilasi adekuat,"1. Depresi pusat pernapasan 2. Hambatan upaya napas (mis. nyeri saat bernapas, kelemahan otot pernapasan)
3. Deformitas dinding dada
4. Deformitas tulang dada
5. Gangguan neuromuskular
6. Gangguan neurologis
7. Imaturitas neurologis
8. Penurunan energi
9. Obesitas
10. Posisi tubuh yang menghambat ekspansi paru
11. Sindrom hipoventilasi
12. Kerusakan inervasi diafragma (kerusakan saraf C5 ke atas)
13. Cedera pada medula spinalis
14. Efek agen farmakologis
15. Kecemsan",,,,,"1. Depresi sistem saraf pusat
2. Cedera kepala
3. Trauma thoraks
4. Gullian barre syndrome
5. Sklerosis multipel
6. Myasthenia gravis
7. Stroke
8. Kuadrifplegia
9. Intoksikasi alcohol"
D.0006,Rsiko Aspirasi,Fisiologis,Respirasi,"Beresiko mengalami masuknya sekresi gastrointestinal, sekresi orofaring, benda cair atau padat ke dalam saluran trakeobronkhial akibat disfungsi mekanisme protektif saluran napas Faktor Risiko 1. Penurunan tingkat kesadaran 2. Penurunan refleks muntah dan/atau batuk 3. Gangguan menelan 4. Disfagia 5. Kerusakan mobilitas fisik 6. Peningkatan residu lambung 7. Peningkatan tekanan intragastric 8. Penurunan motilitas gastrointestinal 9. Sfingter esofagus bawah inkompeten 10. Perlambatan pengosongan lambung 11. Terpasang selang nasogastric 12. Terpasang trakeostomi atau endotracheal tube 13. Trauma/pembedahan leher, mulut, dan/atau wajah 14. Efek agen farmakologis 15. Ketidakmatangan koordinasi menghisap, menelan, bernapas",,,,,,"1. Cedera kepala
2. Stroke
3. Cedera medulla spinalis
4. Guillain barre syndrome
5. Penyakit Parkinson
6. Keracunan obat dan alcohol
7. Pembesaran uterus
8. Miestenia gravis
9. Fistula trakeoesofagus
10. Striktura esofagus
11. Sclerosis multiple
12. Labiopalatoskizis
13. Atresia esofagus
14. Laringomalasia
15. Prematuritas Gangguan Sirkulasi Spontan"
D.0006,Gangguan Sirkulasi Spontan,Fisiologis,Sirkulasi,Ketidakmampuan untuk mempertahankan sirkulasi yang adekuat untuk menunjang keidupan,"1. Abnormalitas jantung
2. Abnormalitas struktur jantung
3. Penurunan fungsi ventrikel",1. Tidak berespon,"1. Frekuensi nadi >50 kali/enit atau >150 kali/menit
2. Tekanan darah sistolik <60 mm Hg atau >200 mmHg
3. Frekuensi napas >6 kali/menit atau >30 kali/menit
4. Kesadaran menurun atau tidak sadar",(tidak tersedia),"1. Suhu tubuh <34,5oC
2. Tidak ada produksi urin dalam 6 jam
3. Saturasi oksigen <85%
4. Gambaran EKG menunjukkan aritmia letal (mis. Ventriculer tachycardia [VT], Ventricular fibrillation [VF], Asistol, Pulseless Electrical Activity [PEA]
5. Gambaran EKG menunjukkan aritmia mayor (mis. AV block derajat 2 tipe 2, AV block total, takiaritmia/bradiaritmia, supraventricular tachycardia [SVT], ventricular extrasystole [VES] simptomatik
6. ETCO2>35 mmHg","1. Henti jantung
2. Bradikardia
3. Takikardia
4. Sindrom coroner akut
5. Gagal jantung
6. Kardiomiopati
7. Miokarditis
8. Disrritmia
9. Trauma
10. Perdarahan (mis. Perdarahan gastrointestinal, rupture aorta, perdarahan intracranial)
11. Keracunan
12. Overdosis
13. Tenggelam
14. Emboli paru Penurunan Curah Jantung"
D.0006,Penurunan Curah Jantung,Fisiologis,Sirkulasi,Ketidakmampuan jantung memompa darah untuk memenuhi kebutuhan metabolisme tubuh,"1. Perubahan irama jantung
2. Perubahan frekuensi jantung
3. Perubahan kontraktilitas
4. Perubahan preload
5. Perubahan afterload",,"1. Perubahan irama jantung
1) Bradikardia/takikardia
2) Gambaran EKG aritmia atau gangguan konduksi
2. Perubahan preload
1) Edema
2) Distensi vena jugularis
3) Central venous pressure (CVP) meningkat/menurun
4) Hepatomegaly
3. Perubahan afterload
1) Tekanan darah meningkat/menurun
2) Nadi perifer teraba lemah
3) Capillary refill time >3 detik
4) Oliguria
5) Warna kulit pucat dan/atau sianosis
4. Perubahan kontraktilitas
1) Terdengar suara jantung S3 dan/atau S4
2) Ejection fraction (EF) menurun","1. Perubahan preload (tidak tersedia)
2. Perubahan afterload (tidak tersedia)
3. Perubahan kontraktilitas (tidak tersedia)
4. Perilaku/emosional
1) Cemas
2) Gelisah","1. Perubahan preload
1) Murmur jantung
2) Berat badan bertambah
3) Pulmonary artery wedge pressure (PAWP) menurun
2. Perubahan afterload
1) Pulmonary vascular resistance (PVR) meningkat/menurun
2) Systemic vascular resistance (SVR) meningkat/menurun
3. Oerubahan kontraktilitas
1) Cardiac index (CI) menurun
2) Left ventricular stroke work index (LVSWI) menurun
3) Stroke volume index (SVI) menurun
4. Perilaku/emosional (tidak tersedia)","1. Gagal jantung kongestif
2. Sindtom coroner akut
3. Stenosis mitral
4. Regurgitasi mitral
5. Stenosis aorta
6. Regurgitasi aorta
7. Stenosis trikuspidal
8. Regurgitasi trikuspidal
9. Stenosis pulmonal
10. Regurgitasi pulmonal
11. Aritmia
12. Penyakit jantung bawaan Perfusi perifer tidak efektif"
D.0006,Perfusi perifer tidak efektif,Fisiologi,,Penurunan sirkulasi darah pada level kapiler yang dapat men gganggu metabolisme tubuh.,"1. Hiperglikemia
2. Penurunan konsentrasi hemoglobin
3. Peningkatan tekanan darah
4. Kekurangan volume cairan
5. Penurunan aliran arteri dan/atau vena
6. Kurang terpapar informasi tentang faktor pemberat (mis. merokok, gaya hidup monoton, trauma, obesitas, asupan garam, imobilitas)
7. Kurang terpapar informasi tentang proses penyakit (mis. diabetes melitus, hiperlipidemia)
8. Kurang aktivitas fisik",,,"1. Parastesia
2. Nyeri ekstremitas (klaudikasi intermiten)","1. Edema
2. Penyembuhan luka lambat
3. Indeks ankle-brachial kurang dari 0.90 4. Bruit femoralis","1. Tromboflebitis
2. Diabetes melitus
3. Anemia
4. Gagal jantung kongestif
5. Kelainan jantung kongenital
6. Trombosis arteri
7. Varises
8. Trombosis vena dalam
9. Sindrom kompartemen Risiko Gangguan Sirkulasi"
D.0010,Risiko Gangguan Sirkulasi Spontan,Fisiologis,Sirkulasi,"Beresiko mengalami ketidakmampuan untuk mempertahankan sirkulasi yang adekuat untuk menunjang kehidupan Faktor Risiko 1. Kekurangan volume cairan 2. Hipoksia 3. Hipotermia 4. Hipokalemia/hiperkalemia 5. Hipoglikemia/hiperglikem ia 6. Asidosis 7. Toksin (mis. Keracunan, overdosis obat) 8. Tamponade jantung 9. Tension pneumothorax 10. Thrombosis jantung 11. Thrombosis paru (emboli paru)",,,,,,"1. Bradikardia
2. Takikardia
3. Sindrom jantung coroner akut
4. Gagal jantung
5. Kardiomiopati
6. Miokarditis
7. Disritmia 8. Trauma
9. Perdarahan (mis. Perdarahan gastrointestinal, rupture aorta, perdarahan intracranial)
10. Keracunan
11. Overdosis
12. Tenggelam
13. Emboli paru Resiko Penurunan Curah"
