Kode SDKI,Kode SIKI,Nama SIKI,Definisi,Tindakan Observasi,Tindakan Terapeutik,Edukasi,Kolaborasi
D.0001,I.01001,,"Melatih pasien yang tidak memiliki kemampuan batuk secara efektif untuk membersihkan laring, trakea dan bronkiolus dari sekret atau benda asing di jalan napas","1. Identifikasi kemampuan batuk
2. Monitor adanya retensi skutum
3. Monitor adanya gejala infeksi saluran nafas
4. Monitor input dan output cairan (mis. Jumlah dan karakteristik)","1. Atur posisi semi-Fowler atau fowler
2. Pasang perlak dan bengkok di pangkuan pasien
3. Buang sekret pada tempat sputum","1. Jelaskan tujuan dan prosedur batuk efektif
2. Anjurkan tarik napas dalam melalui hidung selama 4 detik di tahan sampai 2 detik, kemudian keluarkan dari mulut dengan bibir mencucu (dibulatkan) selama 8 detik
3. Anjurkan mengulangi tarik napas dalam hingga 3 detik
4. Anjurkan batuk dengan kuat langsung setelah tarik napas dalam yang ke-3","1. Kolaborasi pemberian mukolitik atau ekspektoran, jika perlu Manajemen Jalan Napas"
D.0001,I.01011,,Mengidentifikasi dan mengelola kepatenan jalan napas,"1. Monitor pola napas (frekuensi, kedalaman, usaha napas)
2. Monitor bunyi napas tambahan (mis.gurgling, mengi,wheezing, ronkhi kering)
3. Monitor sputum (jumlah, warna, aroma)","1. Pertahankan kepatenan jalan napas dengan head-tilt dan chin-lift (jaw-thrust jika curiga trauma survikal)
2. Posisikan semi-fowler atau fowler
3. Berikan minuman hangat
4. Lakukan fisioterapi dada, jika perlu
5. Berikan oksigen, jika perlu","1. Anjurkn asupan cairan 2000 ml/hari, jika tidak kontraindikasi
2. Ajarkan teknik batuk efektif","1. Kolaborasi pemberian bronkodilator , ekspektoran, mukolitik, jika perlu"
D.0001,I.01014,Pemantauan Respirasi,Mengumpulkan dan menganalisis data untuk memastikan kepatenan jalan napas dan keefektifan pertukaran gas.,"1. Monitor frekuensi, irama, kedalaman dan upaya napas
2. Monitor pola napas (seperti bradypnea, takipnea, hiperventilasi, kussmaul, Cheyne-stokes, biot, ataksik)
3. Monitor kemampuan batuk efektif
4. Monitor adanya produksi sputum
5. Monitor adanya sumbatan jalan napas
6. Palpasi kesimetrisan ekspansi paru
7. Auskultasi bunyi napas
8. Monitor saturasi oksigen
9. Monitor nilai AGD Penyapihan Ventilasi",,,
D.0002,I.01021,Mekanik,"Memfasilitasi pasien bernapas tanpa bantuan ventilasi mekanis Tindakan Observasi 1. Periksa kemampuan untuk disapih (meliputi hemodinamik stabil,kondisi optimal,bebas infeksi) 2. Monitor prediktor kemampuan untuk mentolerir penyapihan (mis.tingkat kemampuan bernapas,kapasistas vital,Vd/Vt,MVV,kekuat an inspirasi ,FEV1,tekanan inspirasi negatif) 3. Monitor tanda tanda kelelahan otot pernapasan (mis. Kenaikan PaCO2 mendadak,napas cepat dan dangkal,gerakan dinding abdomen paradoks),hipoksemia, dan hipoksia jaringan saat penyapihan 4. Monitor status cairan dan elektrolit",,"1. Posisikan pasien semi fowler (30-45 derajat)
2. Lakukan pengisapan jalan napas,jika perlu
3. Berikan fisioterapi dada,jika perlu
4. Lakukan uji coba penyapihan (30-120 menit dengan napas spontan yang dibantu ventilator)
5. Gunakan teknik relaksasi,jika perlu
6. Hindari pemberian sedasi farmakologis selama percobaan penyapihan
7. Berikan dukungan psikologis",I. Ajarkan cara pengontrolan napas saat penyapihan,1. Kolaborasi pemberian obat yang meningkatkan kepatenan jalan napas dan pertukaran gas Pemantauan Respirasi
D.0002,I.01014,Mekanik,"Mengumpulkan dan menganalisis data untuk memastikan kepatenan jalan napas dan keefektifan pertukaran gas. Tindakan Observasi 1. Monitor frekuensi, irama kedalaman dan upaya napas 2. Monitor pola napas (seperti bradipnea,takipnea,hiper ventilasi,kussmaul,Chey ne-stokes,biot,ataksik) 3. Monitor kemampuan batuk efektif 4. Monitor adanya produksi sputum 5. Monitor adanya sumbatan jalan napas 6. Palpasi kesimetrisan ekspansi paru 7. Auskultasi bunyi napas 8. Monitor saturasi oksigen 9. Monitor nilai AGD 10. Monitor hasil x-ray toraks. Terapeutik 1. Atur interval pemantauan respirasi sesuai kondisi pasien 2. Dokumentasi hasil pemantauan Edukasi 1. Jelaskan tujuan dan prosedur pemantauan 2. Informasikan hasil pemantauan, Jika perlu",,,,
D.0002,I.01014,Pemantauan Respirasi,,,,,
D.0002,I.01014,Pemantauan Respirasi,"Mengumpulkan dan menganalisis data untuk memastikan kepatenan jalan napas dan keefektifan pertukaran gas Tindakan Observasi 1. Monitor frekuensi irama, kedalaman dan upaya napas 2. Monitor pola napas (seperti bradipnea, takipnea, hiperventilasi, Kussmaul, Cheyne-Stokes, Biot, ataksik) 3. Monitor kemampuan batuk efektif 4. Monitor adanya produksi sputum 5. Monitor adanya sumbatan jalan naps 6. Palpasi kesimetrisan ekspansi paru 7. Auskultasi bunyi napas 8. Monitor saturasi oksigen 9. Monitor nilai AGD 10. Monitor hasil x-ray toraks",,"1. Atur interval pemantauan respirasi sesuai kondisi pasien
2. Dokumentasikan hasil pemantauan","1. Jelaskan tujuan dan prosedur pemantauan
2. Informasikan hasil pemantauan, jika perlu",
D.0002,I.01026,Terapi Oksigen,"Memberikan tambahan oksigen untuk mencegah dan mengatasi kondisi kekurangan oksigen jaringan Tindakan Observasi 1. Monitor kecepatan aliran oksigen 2. Monitor posisi alat terapi oksigen 3. Monitor aliran oksigen secaa periodik dan pastikan fraksi yang diberikan cukup 4. Monitor efektifitas terapi oksigen (mis. Oksimetri, analisa gas darah), jika perlu 5. Monitor kemampuan melepaskan oksigen saat makan 6. Monitor tanda-tanda hipoventilasi 7. Monitor tanda dan gejala toksikasi oksigen dan atelektasis 8. Monitor tingkat kecemasan akibat terapi oksigen 9. Monitor integritas mukosa hidung akibat pemasangan oksigen",,"1. Bersihkan sekret pada mulut, hidung dan trakea, jika perlu
2. Pertahankan kepatenan jalan napas
3. Siapkan dan atur peralatan pemberian oksigen
4. Berikan oksigen tambahan, jika perlu
5. Tetap berikan oksigen saat pasien ditransportasi
6. Gunakan perangkat oksigen yang sesuai dengan tingkat mobilitas pasien",1. Ajarkan pasien dan keluarga cara menggunakan oksigen di rumah,"1. Kolaborasi penentuan dosis oksigen
2. Kolaborasi penggunaan oksigen saat aktivitas dan/atau tidur Manajemen Defibrilasi"
D.0002,I.02038,Terapi Oksigen,,1. Memeriksa irama pada monitor setelah RJP 2 menit,"1. Melakukan resusitasi jantung paru (RJP) hingga mesin defibrillator siap
2. Menyiapkan dan menghidupkan mesin defibrilator
3. Memasang monitor EKG
4. Memastikan irama EKG henti jantung (VF atau VT tanpa nadi)
5. Mengatur jumlah energi dengan mode Asynchronized (360 joule untuk monopasi dan 120- 200 joule untu bifasik)
6. Mengangkat paddle dari mesin dan oleskan jelli pada paddle
7. Menempelkan paddle sternum (kanan) pada sisi kanan sternum dibawah klavikula dan paddle apeks (kiri) pada garis midaksilaris setinggi elektroda V6
8. Mengisi energi dengan menekan tombol charger pada paddle atau tombol charger pada mesin defibrilator dan menunggu hingga energi yang diinginkan tercapai
9. Menghentikan RJP saat defibrillator siap
10. Meneriakkan bahwa defibrilator telah siap (mis. ”I’m clear, you’re clear, everybody’s clear”)
11. Memberikan shock dengan menekan tombol pada kedua paddle bersamaan
12. Angkat paddle dan langsung lanjutkan RJP tanpa menunggu hasil irama yang muncul pada monitor setelah pemberian defibrilasi
13. Melanjutkan RJP sampai 2 menit",,
D.0002,I.03139,Resisutasi Cairan,,"1. Mengidentifikasi kelas syok untuk estimasi kehilangan darah
2. Memonitor status hemodinamik
3. Memonitor status oksigen
4. Memonitor kelebihan cairan
5. Memonitor output cairan tubuh (mis. Urine, cairan nasogastrik, cairan selang dada)
6. Memonitor nilai BUN, kreatinin, protein total, dan albumin, jika perlu
7. Memonitor tanda dan gejala edema paru Teraputik
1. Memasang jalur IV berukuran besar (mis. Nomor 14-16)
2. Memberikan infus cairan kristaloid 1-2 liter pada dewasa
3. Memberikan infus cairan kristaloid 20mL/kgBB pada anak
4. Melakukan kross matching produk darah",,,"1. Berkolaborasi dalam menentukan jenis dan jumlah cairan (mis. Kristaloid, koloid)
2. Berkolaborasi dalam memberikan produk darah Resusitasi Jantung Paru"
